,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
202,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
203,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
204,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
205,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
206,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
207,6,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
208,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
209,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
212,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
213,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
214,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,
216,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
217,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
218,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
219,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
220,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
221,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
222,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
223,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
224,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
225,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
226,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
227,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
228,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
229,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
230,6,5,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,
231,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,
233,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
234,6,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,
235,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
236,6,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,
238,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
239,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
240,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
241,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
242,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
243,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
244,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
